,mpre,mpost,mpost,mpre,mpost,mpre,mpost,mpre,mpost,mpost,mpre,mpost,mpre,mpost,mpre,mpost,mpost,mpost,mpre,mpost,mpre,mpost,mpre,mpost,mpost,mpre,mpost,mpre,mpost,mpre,mpre,mpost,mpre,mpost,mpre,mpost,mpre,mpost,mpre,mpost,mpre,mpost,mpre,mpost,mpre,mpost,mpre,mpost,mpre,mpre,mpost,mpre,mpost,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
01g__Candida,-0.087403434,3.86003979,5.089817107,-0.048654173,1.793991582,-0.048654173,1.004626838,-0.048654173,-0.075624032,-0.086332626,5.234663383,-0.066228529,4.116339903,-0.048654173,-0.105917214,3.971234356,-0.113599204,4.777356926,-0.066228529,-0.126367984,2.114211646,-0.137167202,-0.048654173,-0.09457663,-0.083947448,3.438568972,-0.07842303,-0.075624032,-0.090786306,-0.058641441,-0.048654173,1.853556948,-0.048654173,-0.141055688,-0.091582842,-0.138539943,-0.07621296,-0.076356697,-0.083115906,-0.090652189,-0.07322064,-0.084384992,-0.119437628,-0.093378664,-0.089369383,-0.07322064,2.836718483,-0.09522253,-0.048654173,-0.048654173,-0.085601106,-0.075624032,-0.048654173,-0.048654173,1.510822923,5.199778919,5.254650735,5.254650735,1.546202668,1.022399329,5.254650735,-0.155489035,3.441536725,3.36806658,2.273572218,2.128784992,1.039970847,-0.084550681,0.946848437,5.254650735,5.254650735,5.254650735,1.859907917,1.006798413,2.945996103,2.596183053,-0.083794196
02g__unknown_Saccharomycetales,2.620646767,-0.110252124,3.04916159,-0.048654173,2.792520412,-0.048654173,4.734328286,-0.048654173,-0.075624032,1.012279663,-0.058641441,-0.066228529,-0.117766601,-0.048654173,-0.105917214,3.867693677,4.929825913,2.269977421,-0.066228529,4.10773852,1.526424981,0.961445087,-0.048654173,4.50054322,4.775864956,-0.116779089,-0.07842303,-0.075624032,1.518651606,1.039970847,-0.048654173,5.083796532,-0.048654173,2.05616889,-0.091582842,2.805899036,-0.07621296,5.111029108,-0.083115906,3.622919878,1.536217272,4.694738501,-0.119437628,4.081008606,-0.089369383,1.025391649,-0.107720496,1.514215382,-0.048654173,-0.048654173,2.958921332,-0.075624032,-0.048654173,-0.048654173,-0.09861499,-0.07322064,-0.048654173,-0.048654173,-0.063235244,-0.07621296,-0.048654173,2.041735542,-0.113811336,0.911330807,-0.124323054,-0.068439585,-0.058641441,-0.084550681,-0.151763852,-0.048654173,-0.048654173,-0.048654173,2.111222345,3.800006423,5.03137238,-0.111867148,-0.083794196
03g__unknown_Fungi,5.122082719,3.108623701,1.012279663,5.254650735,3.818373346,5.254650735,4.223502663,5.254650735,-0.075624032,3.04916159,1.039970847,-0.066228529,4.678023944,5.254650735,4.898029092,4.254809646,0.985013085,3.803907781,5.206771029,3.169468882,5.158734084,2.060057376,5.254650735,4.520543887,4.206511993,4.913658832,5.173850398,5.122872999,5.150960709,5.234663383,5.254650735,2.852085779,5.254650735,3.154781178,5.128772983,4.151919498,5.186477229,3.059137518,4.027757958,4.978252014,5.199778919,4.334455616,4.785837151,1.005233625,5.098016423,5.199778919,4.797554283,3.618349537,5.254650735,5.254650735,-0.085601106,5.122872999,5.254650735,5.254650735,4.245190432,-0.07322064,-0.048654173,-0.048654173,5.219968484,1.869697189,-0.048654173,3.987645691,4.418788157,3.30922608,3.725824547,5.194250604,5.234663383,4.404085689,3.855569334,-0.048654173,-0.048654173,-0.048654173,5.145106384,4.925465961,2.466423023,5.029796408,5.15795282
04s__Candida_albicans,-0.065703271,3.887412731,5.111251414,-0.036574517,-0.114200854,-0.036574517,1.027961157,-0.036574517,-0.05684841,-0.064898319,5.249222638,-0.049785584,-0.088527997,-0.036574517,-0.079620526,4.005903475,-0.085395264,4.733296171,-0.049785584,-0.094993864,2.134821753,-0.103111896,-0.036574517,-0.071095536,-0.063105323,-0.08778566,-0.058952485,-0.05684841,-0.068246258,-0.044082187,-0.036574517,1.876486019,-0.036574517,-0.106034965,-0.068845033,-0.10414382,-0.057291122,-0.057399173,-0.062480233,-0.068145438,-0.055041722,-0.063434235,-0.089784148,-0.070194995,-0.067181122,-0.055041722,2.863462882,-0.071581074,-0.036574517,-0.036574517,-0.064348417,-0.05684841,-0.036574517,-0.036574517,1.535306644,5.217957836,5.266730391,5.266730391,1.561902453,1.041321167,5.266730391,-0.116884861,3.469793333,3.414564051,2.304438632,2.145776889,1.054530102,-0.063558788,0.984527738,5.266730391,5.266730391,5.266730391,1.881260195,1.029593582,2.970457814,-0.084093236,-0.062990119
05s__unknown_Saccharomycetales,2.64234693,-0.082879183,3.070595897,-0.036574517,2.830238125,-0.036574517,4.757662605,-0.036574517,-0.05684841,1.03371397,-0.044082187,-0.049785584,-0.088527997,-0.036574517,-0.079620526,3.902362796,4.958029853,2.287004357,-0.049785584,4.139112641,1.547035088,0.995500392,-0.036574517,4.524024315,4.796707081,-0.08778566,-0.058952485,-0.05684841,1.541191655,1.054530102,-0.036574517,5.106725602,-0.036574517,2.091189612,-0.068845033,2.84029516,-0.057291122,5.129986633,-0.062480233,3.645426628,1.55439619,4.715689258,-0.089784148,4.104192274,-0.067181122,1.043570566,-0.080976097,1.537856838,-0.036574517,-0.036574517,2.98017402,-0.05684841,-0.036574517,-0.036574517,-0.074131268,-0.055041722,-0.036574517,-0.036574517,-0.04753546,-0.057291122,-0.036574517,2.080339716,-0.085554729,0.957828279,-0.093456641,-0.051447688,-0.044082187,-0.063558788,-0.114084551,-0.036574517,-0.036574517,-0.036574517,2.132574623,3.822801592,5.055834091,-0.084093236,-0.062990119
05s__unknown_Fungi,5.143782882,3.135996642,1.03371397,5.266730391,3.85609106,5.266730391,4.246836982,5.266730391,-0.05684841,3.070595897,1.054530102,-0.049785584,4.707262549,5.266730391,4.92432578,4.289478766,1.013217025,3.820934717,5.223213974,3.200843002,5.179344191,2.094112681,5.266730391,4.544024981,4.227354118,4.942652261,5.193320943,5.141648621,5.173500757,5.249222638,5.266730391,2.875014849,5.266730391,3.189801901,5.151510792,4.186315622,5.205399067,3.078095043,4.048393631,5.000758764,5.217957836,4.355406373,4.815490631,1.028417293,5.120204684,5.217957836,4.824298682,3.641990992,5.266730391,5.266730391,-0.064348417,5.141648621,5.266730391,5.266730391,4.269674154,-0.055041722,-0.036574517,-0.036574517,5.235668269,1.888619027,-0.036574517,4.026249866,4.447044764,3.355723551,3.756690961,5.211242501,5.249222638,4.425077582,3.893248635,-0.036574517,-0.036574517,-0.036574517,5.166458663,4.94826113,2.490884733,5.057570321,5.178756896
06ASV_2_Candida_albicans,-0.015894443,-0.028432415,-0.012521209,-0.017766629,-0.023030739,-0.016717097,1.085881718,-0.013664487,-0.012394572,-0.010065601,5.287129059,-0.006974792,-0.01949619,-0.018549984,-0.016964031,4.096167868,-0.011963588,4.821499344,-0.010573361,-0.014708411,2.180469058,-0.022625857,-0.022538224,-0.011002381,-0.014484936,-0.032241475,-0.009793607,-0.00796427,-0.021644196,-0.006175765,-0.011107279,1.931397386,-0.009726086,-0.020189218,-0.020941752,-0.016658672,-0.010926957,-0.01269293,-0.010533336,-0.010596176,-0.00876266,-0.019710904,-0.016806465,-0.009834081,-0.01199538,-0.011464064,-0.014507276,-0.010028266,-0.013457492,-0.018879811,-0.009014996,-0.012947974,-0.010460152,-0.013048774,1.588451625,5.26472049,5.298180942,5.298180942,1.598977761,1.090585996,-0.005123966,-0.021183612,3.540720232,3.532215006,2.384802313,-0.019747387,1.084454138,-0.011464064,1.082629429,-0.005123966,5.184563447,5.298180942,1.924979201,-0.021435533,-0.012143836,-0.018512739,-0.01809405
07ASV_5_unknown_Saccharomycetales,2.38200083,-0.028432415,3.122973007,-0.017766629,2.92140824,-0.016717097,4.815583166,-0.013664487,-0.012394572,1.088546688,-0.006175765,-0.006974792,-0.01949619,-0.018549984,-0.016964031,3.992627189,5.031461529,2.37520753,-0.010573361,4.219398093,1.592682393,1.075986432,-0.022538224,4.584117469,4.845327469,-0.032241475,-0.009793607,-0.00796427,1.587793716,1.092436523,-0.011107279,5.079237437,-0.009726086,2.177035359,-0.020941752,2.927780307,-0.010926957,5.174692875,-0.010533336,3.70297589,1.600675253,3.115783312,-0.016806465,4.164553188,-0.01199538,1.087148225,-0.014507276,1.599409646,-0.013457492,-0.018879811,3.035507442,-0.012947974,-0.010460152,-0.013048774,-0.020986287,-0.008279069,-0.005123966,-0.005123966,-0.010460152,-0.008026292,-0.005123966,2.176040965,-0.014627829,1.075479233,-0.013092959,-0.019747387,-0.014158151,-0.011464064,-0.01598286,-0.005123966,-0.013933584,-0.005123966,2.17629363,3.870384765,5.117754879,-0.018512739,-0.01809405
08ASV_4_unknown_Fungi,5.065509922,-0.028432415,-0.012521209,5.063637736,3.410956466,5.077033104,1.085881718,4.906316439,-0.012394572,-0.010065601,1.092436523,-0.006974792,4.534380701,-0.018549984,4.795220324,-0.014705997,-0.011963588,2.542261615,4.909407565,3.120785805,5.026669597,2.17459872,4.396302384,4.584117469,1.084127353,4.337206377,1.599644305,5.190532761,-0.021644196,5.287129059,5.130556278,-0.014512763,5.166423647,-0.020189218,4.854255571,4.217447833,5.209428868,1.085919358,3.996799849,1.088016112,5.253927529,3.276125962,4.710581354,-0.009834081,5.141296214,4.679883818,4.845305128,-0.010028266,4.814856245,4.871469318,-0.009014996,4.963785768,5.199026001,-0.013048774,-0.020986287,-0.008279069,-0.005123966,-0.005123966,-0.010460152,-0.008026292,-0.005123966,-0.021183612,-0.014627829,-0.023133055,-0.013092959,-0.019747387,-0.014158151,-0.011464064,-0.01598286,-0.005123966,-0.013933584,-0.005123966,4.373518207,4.705952286,-0.012143836,-0.018512739,-0.01809405
09ASV_8_unknown_Fungi,-0.015894443,-0.028432415,-0.012521209,-0.017766629,-0.023030739,-0.016717097,-0.012730571,-0.013664487,-0.012394572,-0.010065601,-0.006175765,-0.006974792,-0.01949619,-0.018549984,-0.016964031,-0.014705997,-0.011963588,-0.022687743,-0.010573361,-0.014708411,-0.01675552,-0.022625857,-0.022538224,-0.011002381,-0.014484936,-0.032241475,-0.009793607,-0.00796427,-0.021644196,-0.006175765,-0.011107279,-0.014512763,-0.009726086,-0.020189218,-0.020941752,-0.016658672,-0.010926957,-0.01269293,-0.010533336,-0.010596176,-0.00876266,-0.019710904,-0.016806465,-0.009834081,-0.01199538,-0.011464064,-0.014507276,-0.010028266,-0.013457492,-0.018879811,-0.009014996,-0.012947974,-0.010460152,4.831138313,3.023536151,-0.008279069,-0.005123966,-0.005123966,5.199026001,1.937883857,-0.005123966,3.346112218,4.517971664,3.19574277,3.837054642,4.870601741,5.139133444,4.454444055,3.991350325,-0.005123966,-0.013933584,-0.005123966,-0.020930948,-0.021435533,-0.012143836,4.930247152,-0.01809405
